Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
50,,61,Reacts,,Cyanogen bromide,CBrN
,,,,,Pravastatin,C$_{23}$H$_{36}$O$_{7}$
,,,,,Theophylline,C$_{7}$H$_{8}$N$_{4}$O$_{2}$
,,,,,APINACA,C$_{23}$H$_{31}$N$_{3}$O
,3.74,,,197.841,Arsenic trioxide,As$_{2}$O$_{3}$
,,,,2027.33874,Apamin,C$_{79}$H$_{131}$N$_{31}$O$_{24}$S$_{4}$
,,,,,Glycobiarsol,C$_{8}$H$_{9}$AsBiNO$_{6}$
,,,,,Alvocidib,C$_{21}$H$_{20}$ClNO$_{5}$
,,,"very good, hydroscopic",,Benzenediazonium chloride,C$_{6}$H$_{5}$N$_{2}$Cl
,,,,,Aluminium monochloride,AlCl
,,,,,Ibafloxacin,C$_{15}$H$_{14}$FNO$_{3}$
,,,,,Deslanoside,C$_{47}$H$_{74}$O$_{19}$
,,,,229.71,Terbuthylazine,C$_{9}$H$_{16}$ClN$_{5}$
,,,,254.15,Hexahydroxy-2 3-naphthalenedione,C$_{10}$H$_{6}$O$_{8}$
320,,714,,372.519,Tin(II) iodide,SnI$_{2}$
-80,0.8673,171.5,0.4,,Hexyl acetate,C$_{8}$H$_{16}$O$_{2}$
165-166,,,,225.28,Escaline,C$_{12}$H$_{19}$NO$_{3}$
,,,,,Glutaurine,C$_{7}$H$_{14}$N$_{2}$O$_{6}$S
,,,,,RWJ-51204,C$_{21}$H$_{19}$F$_{2}$N$_{3}$O$_{3}$
,,,,,Etanercept,C$_{2224}$H$_{3475}$N$_{621}$O$_{698}$S$_{36}$
172-173,,,,,Toxoflavin,C$_{7}$H$_{7}$N$_{5}$O$_{2}$
387,,742,787,366.22,Cadmium iodide,CdI$_{2}$
,,,,,Actarit,C$_{9}$H$_{12}$IN
-15.2,,205.3,3.5,,Benzyl alcohol,C$_{7}$H$_{8}$O
,,,,,Potassium lactate,C$_{3}$H$_{5}$KO$_{3}$
,,,,,Dantrolene,C$_{14}$H$_{10}$N$_{4}$O$_{5}$
222,,,,,Alpha-Ethyltryptamine,C$_{12}$H$_{16}$N$_{2}$
21.8,,251,Reacts,174.2,Toluene diisocyanate,C$_{9}$H$_{6}$N$_{2}$O$_{2}$
,,,,,Chlorphenamine,C$_{16}$H$_{19}$ClN$_{2}$
47-50,,,,178.23,Wieland-Miescher ketone,C$_{11}$H$_{14}$O$_{2}$
,,,,622.55,Calcein,C$_{30}$H$_{26}$N$_{2}$O$_{13}$
-37,,194,,,Styrene oxide,C$_{8}$H$_{8}$O
,,,,,Amitriptyline,C$_{20}$H$_{23}$N
,,,,,Propanidid,C$_{18}$H$_{27}$NO$_{5}$
,,116-117,,,Norcarane,C$_{7}$H$_{12}$
195-197,,,,,Myrotoxin B,C$_{29}$H$_{34}$O
,,,,,Clotiapine,C$_{18}$H$_{18}$ClN$_{3}$S
,,,,,Triazavirin,C$_{5}$H$_{4}$N$_{6}$O$_{3}$S
,,,,,Dyclonine,C$_{18}$H$_{27}$NO$_{2}$
,,219,~50,,Tris,C$_{4}$H$_{11}$NO$_{3}$
,,,,,Bevonium,C22H28NO3charge+
,,,,,Ethylone,C$_{12}$H$_{15}$NO$_{3}$
,,,,,Uroguanylin,C$_{61}$H$_{101}$N$_{17}$O$_{25}$S$_{4}$
,,,,92.01,Carbon pentoxide,CO$_{5}$
,,,,,Promestriene,C$_{22}$H$_{32}$O$_{2}$
,,,,,Feprosidnine,C$_{11}$H$_{13}$N$_{3}$O
,,,,,Olaflur,C$_{27}$H$_{60}$F$_{2}$N$_{2}$O$_{3}$
,,,,,Selfotel,C$_{7}$H$_{14}$NO$_{5}$P
140,,,,,Lapachol,C$_{15}$H$_{14}$O$_{3}$
,,,,,Felbamate,C$_{11}$H$_{14}$N$_{2}$O$_{4}$
,,,,,Epimestrol,C$_{19}$H$_{26}$O$_{3}$
,,,,,Hypericin,C$_{30}$H$_{16}$O$_{8}$
,,,,,Tiratricol,C$_{14}$H$_{9}$I$_{3}$O$_{4}$
74,,163-165,,,Coniferyl alcohol,C$_{10}$H$_{12}$O$_{3}$
,,,,,Inotodiol,C$_{30}$H$_{50}$O$_{2}$
-3.3,,58.2,Miscible,,Hexafluoro-2-propanol,C$_{3}$H$_{2}$F$_{6}$O
-50.8,,-35.36,approximately 245,127.904,Hydrogen iodide,HI
142,,203,Insoluble,242.12,Triphenylborane,C$_{18}$H$_{15}$B
,,,,,Floctafenine,C$_{20}$H$_{17}$F$_{3}$N$_{2}$O$_{4}$
,,,,,Phenoperidine,C$_{23}$H$_{29}$NO$_{3}$
,,,,,Emapunil,C$_{23}$H$_{23}$N$_{5}$O$_{2}$
,,,,,Valrubicin,C$_{34}$H$_{36}$F$_{3}$NO$_{13}$
,,,,,CI-988,C$_{35}$H$_{42}$N$_{4}$O$_{6}$
,,,water miscible,484.51,Dichlorotetrakis(dimethylsulfoxide)ruthenium(II),C$_{8}$H$_{24}$Cl$_{2}$O$_{4}$RuS$_{4}$
,,,,116.09,Sodium phenoxide,C$_{6}$H$_{5}$NaO
,,,1.08,,Methylamine,CH$_{5}$N
-14.9,,,0.005% (20$^{\circ}$C),,Divinylbenzene,C$_{10}$H$_{10}$
,2.929,,0.02,136.06,Dicalcium phosphate,CaHPO$_{4}$
,,,,,Secoisolariciresinol,C$_{20}$H$_{26}$O$_{6}$
,,,,,Anagliptin,C$_{19}$H$_{25}$N$_{7}$O$_{2}$
,,,,,RDS-127,C$_{17}$H$_{27}$NO$_{2}$
,,,,,Cartazolate,C$_{15}$H$_{22}$N$_{4}$O$_{2}$
,,,,,Methylisopropyltryptamine,C$_{14}$H$_{20}$N$_{2}$
,,,,354.39,Isoxanthohumol,C$_{21}$H$_{22}$O$_{5}$
14-16,,315,Insoluble,,Octadecene,C$_{18}$H$_{36}$
,,196,,,Ammonium perfluorononanoate,C$_{9}$H$_{4}$F$_{17}$NO$_{2}$
,,,,,Ofloxacin,C$_{18}$H$_{20}$FN$_{3}$O$_{4}$
,,,,,Cyprodime,C$_{22}$H$_{29}$NO$_{3}$
1027,7.1,,,320,Plutonium tetrafluoride,PuF$_{4}$
,,,,,Allura Red AC,C$_{18}$H$_{14}$N$_{2}$Na$_{2}$O$_{8}$S$_{2}$
550,,,0.02,159.253,Zirconium(IV) hydroxide,Zr(OH)$_{4}$
,,,,,GW-803 430,
,,,,,Selexipag,C$_{26}$H$_{32}$N$_{4}$O$_{4}$S
,,,,,Candicidin,C$_{59}$H$_{84}$N$_{2}$O$_{18}$
,,,,,Tetrazolylglycine,C$_{3}$H$_{5}$N$_{5}$O$_{2}$
,,,,,Bencyclane,C$_{19}$H$_{31}$NO
,,,,320.3,Chromotropic acid,C$_{10}$H$_{8}$O$_{8}$S$_{2}$
-185.2,,-47.6,0.61,,Propene,C$_{3}$H$_{6}$
,,,,,Trichloronate,C$_{10}$H$_{12}$Cl$_{3}$O$_{2}$PS
,,,,,Tranilast,C$_{18}$H$_{17}$NO$_{5}$
58,,,,,Butamben,C$_{11}$H$_{15}$NO$_{2}$
,,,,351.848,Tosyl phenylalanyl chloromethyl ketone,C$_{17}$H$_{18}$ClNO$_{3}$S
158,1.48,180,42,,DCMU,C$_{9}$H$_{10}$Cl$_{2}$N$_{2}$O
-28,,,45,,Cyanogen,C$_{2}$N$_{2}$
,,,,,Octriptyline,C$_{20}$H$_{21}$N
,,,,253.215,Neopterin,C$_{9}$H$_{11}$N$_{5}$O$_{4}$
,,,,302.23,Hypolaetin,C$_{15}$H$_{10}$O$_{7}$
203,,,,,Agaritine,C$_{12}$H$_{17}$N$_{3}$O$_{4}$
79,,,,,SIMes,C$_{21}$H$_{26}$N$_{2}$
,,,,,Indometacin,C$_{19}$H$_{16}$ClNO$_{4}$
,,,,,PEAQX,C$_{17}$H$_{17}$BrN$_{3}$O$_{5}$P
,,,,,Nefiracetam,C$_{14}$H$_{18}$N$_{2}$O$_{2}$
-17.7,0.8647,134.5,Miscible,,Cyclohexylamine,C$_{6}$H$_{13}$N
-93.9,0.751,49.2,156,70.1,Cyclopentane,C$_{5}$H$_{10}$
,,,,,Tetrodotoxin,C$_{11}$H$_{17}$N$_{3}$O$_{8}$
,,,,,Miroprofen,C$_{16}$H$_{14}$N$_{2}$O$_{2}$
,,,,,Eclanamine,C$_{16}$H$_{22}$Cl$_{2}$N$_{2}$O
-80,,88,,118.131,Beta-Hydroxy $\beta$-methylbutyric acid,C$_{5}$H$_{10}$O$_{3}$
,,,,458.372,Gallocatechin gallate,C$_{22}$H$_{18}$O
-76,,69,,,Dimethylbutadiene,C$_{6}$H$_{10}$
309,5.206,,,235.77,Silver bromate,AgBrO$_{3}$
-59.4,,-5.55,Reacts,,Nitrosyl chloride,NOCl
50,2.2,,9,,Sodium bicarbonate,NaHCO$_{3}$
36,,,,,Disulfuric acid,H$_{2}$O$_{7}$S$_{2}$
,,,,,Pentorex,C$_{11}$H$_{17}$N
,,,,,S1RA,C$_{20}$H$_{23}$N$_{3}$O$_{2}$
,,,,,Pagoclone,C$_{23}$H$_{22}$ClN$_{3}$O$_{2}$
425,2.64,960,very soluble,154.225,Titanium(III) chloride,TiCl$_{3}$
,,,,258.27,Gnetucleistol D,C$_{15}$H$_{14}$O$_{4}$
140,1.705,,Soluble,177.02124,Cobalt(II) acetate,Co(C$_{2}$H$_{3}$O$_{2}$)$_{2}$
,,,,,Ethyltrifluoromethylaminoindane,C$_{12}$H$_{14}$F$_{3}$N
103-105,1.28,,,160.17,Pimelic acid,C$_{7}$H$_{12}$O$_{4}$
-106,,65,,,Deuterated THF,C$_{42}$H$_{8}$O
-23,,140,,,Acetylacetone,C$_{5}$H$_{8}$O$_{2}$
,,,,,Cilastatin,C$_{16}$H$_{26}$N$_{2}$O$_{5}$S
203-205,,,,224.21,Sinapinic acid,C$_{11}$H$_{12}$O$_{5}$
,,,insoluble,111.997,Titanium disulfide,TiS$_{2}$
,,,,,SKF-83 959,
,,,,246.217,Dihydrouridine,C$_{9}$H$_{14}$N$_{2}$O$_{6}$
725,2.468,,55.8,,Barium acetate,C$_{4}$H$_{6}$BaO$_{4}$
338,,,,,Abietane,C$_{20}$H$_{36}$
,,,,,Atiprimod,C$_{22}$H$_{44}$N$_{2}$
5-Mar,1.027,75,insoluble,,Diisopropyl azodicarboxylate,C$_{8}$H$_{14}$N$_{2}$O$_{4}$
-76,,146,,,Triethyl orthoformate,C$_{7}$H$_{16}$O$_{3}$
40,1.099,160,,,N N-Dimethyltryptamine,
,,,,,Sulfate,SO$^{2-}_{4}$
,,,,300.3,Coelogin,C$_{17}$H$_{16}$O$_{5}$
,,,,,Rituximab,C$_{6416}$H$_{9874}$N$_{1688}$O$_{1987}$S$_{44}$
,,,,,Ethinamate,C$_{9}$H$_{13}$NO$_{2}$
,,,,,Phenyl azide,C$_{6}$H$_{5}$N$_{3}$
6.1,1.17,,7,,Phoxim,C$_{12}$H$_{15}$N$_{2}$O$_{3}$PS
,2.7,,0.64,,Sodium fluorosilicate,F$_{6}$Na$_{2}$Si
,,,,,Nandrolone,C$_{18}$H$_{26}$O$_{2}$
210,,,,,Diphenidine,C$_{19}$H$_{23}$N
,,,,,Cyclazocine,C$_{18}$H$_{25}$NO
,,,,,Diatomic carbon,C$_{2}$
,,,,,Butylone,C$_{12}$H$_{15}$NO$_{3}$
360,1.6,,0.103,135.13,Adenine,C$_{5}$H$_{5}$N$_{5}$
,,,,,DPI-3290,C$_{30}$H$_{34}$FN$_{3}$O$_{2}$
,,,,,PRO-LAD,C$_{22}$H$_{29}$N$_{3}$O
,,,,454.47,Epsilon-Viniferin,C$_{28}$H$_{22}$O$_{6}$
,,,,,Bromantane,C$_{16}$H$_{20}$BrN
,,,,,Methylhomatropine,C$_{17}$H$_{24}$BrNO$_{3}$
-15,0.889,230,686,,Geraniol,C$_{10}$H$_{18}$O
,,,,,Dimetridazole,C$_{5}$H$_{7}$N$_{3}$O$_{2}$
,,,,,Maraviroc,C$_{29}$H$_{41}$F$_{2}$N$_{5}$O
,,,,390.07,Phosphoribosyl pyrophosphate,C$_{5}$H$_{13}$O$_{14}$P$_{3}$
,,,,1198.43,GelGreen,C$_{56}$H$_{80}$I$_{2}$N$_{8}$O$_{5}$
,,,,,Ceruletide,C$_{58}$H$_{73}$N$_{13}$O$_{21}$S$_{2}$
25,,115.24,299,,Acetaldoxime,C$_{2}$H$_{5}$NO
,1.1,,0.5,,Propargite,C$_{19}$H$_{26}$O$_{4}$S
,,,,,Proglumide,C$_{18}$H$_{26}$N$_{2}$O$_{4}$
259,6.36,350,0.006,454.4,Mercury(II) iodide,HgI$_{2}$
,,,,,Luliconazole,C$_{14}$H$_{9}$Cl$_{2}$N$_{3}$S$_{2}$
,,,,302.28,Sterubin,C$_{16}$H$_{14}$O$_{6}$
,1.07,189,,142.1546,Glycidyl methacrylate,C$_{7}$H$_{10}$O$_{3}$
,,,,,LBP-1 (drug),
462,1.46,924,12.7,23.95,Lithium hydroxide,LiOH
198,1.26,,21.3,139.15,Ammonium benzoate,C$_{7}$H$_{9}$NO$_{2}$
-19,0.906,89,Insoluble,92.14,Norbornadiene,C$_{7}$H$_{8}$
,,,,,Titanic acid,TiH$_{4}$O$_{4}$
,,,,,Gold(III) hydroxide,AuH$_{3}$O$_{3}$
,,268-272,,,Hagemann's ester,C$_{10}$H$_{14}$O$_{3}$
,,,"Sol. MeOH, CHCl$_{3}$",,MC21-B,C$_{14}$H$_{7}$Br$_{3}$O$_{4}$
,,,,,Denufosol,C$_{18}$H$_{27}$N$_{5}$O$_{21}$P$_{4}$
,,,,492.42,Eupatolin,C$_{23}$H$_{24}$O$_{12}$
,,,,594.52,Prodelphinidin B3,C$_{30}$H$_{26}$O$_{13}$
1115,5.6,,0.00766,215.78,Iron(II) molybdate,FeMoO$_{4}$
31,,117,8.2g/L,,Methyl isothiocyanate,C$_{2}$H$_{3}$NS
,,,,,AM-855,C$_{26}$H$_{38}$O$_{2}$
,,,,,Etorphine,C$_{25}$H$_{33}$NO$_{4}$
93,1.81,,,124.06,Ammonium dinitramide,H$_{4}$N$_{4}$O$_{4}$
-10,,293-297,6,220.35,Nonylphenol,C$_{15}$H$_{24}$O
824,8.445,1293,0.057,245.2,Lead(II) fluoride,PbF$_{2}$
,2.35,,high,,Potassium selenocyanate,CNKSe
,,,,,Prostanozol,C$_{25}$H$_{38}$N$_{2}$O$_{2}$
,,,,,Oxyphenonium bromide,
,,,,,Rogletimide,C$_{12}$H$_{14}$N$_{2}$O$_{2}$
151.4,,230,,,Bismuth pentafluoride,BiF$_{5}$
,,,,,Acarbose,C$_{25}$H$_{43}$NO$_{18}$
192-204,,,soluble in toluene at elevated temperatures,,Woollins' reagent,C$_{12}$H$_{10}$P$_{2}$Se$_{4}$
-34,1.061,205.8,,,Nitrocyclohexane,C$_{6}$H$_{11}$NO$_{2}$
219-220,,,,,Tetraphenylcyclopentadienone,C$_{29}$H$_{20}$O
,,,,,Nimorazole,C$_{9}$H$_{14}$N$_{4}$O$_{3}$
,,,,,Aceburic acid,
135,0.531,1336,soluble,58.39,Lithium hypochlorite,LiClO
250,,,Reacts,,Potassium ethoxide,C$_{2}$H$_{5}$OK
,,,,,Letermovir,C$_{29}$H$_{28}$F$_{4}$N$_{4}$O$_{4}$
,,,Soluble,903.96,Epsilon-Amanitin,C$_{39}$H$_{53}$N$_{9}$O$_{14}$S
,,,,,Raltegravir,C$_{20}$H$_{21}$FN$_{6}$O$_{5}$
,,,,1278.86,Mallojaponin,C$_{54}$H$_{38}$O$_{37}$
232,1.09,,91,,Fluroxypyr,C$_{7}$H$_{5}$Cl$_{2}$FN$_{2}$O$_{3}$
,,,,,Mecloqualone,C$_{15}$H$_{11}$ClN$_{2}$O
,,,,,Acetoxyketobemidone,C$_{17}$H$_{23}$NO$_{3}$
,6.98,,,253.86,Molybdenum diselenide,MoSe$_{2}$
,,,,,Sodium aurothiosulfate,
,,,,,Amlexanox,C$_{16}$H$_{14}$N$_{2}$O$_{4}$
,,,,,Dopexamine,C$_{22}$H$_{32}$N$_{2}$O$_{2}$
,,,,,Fidaxomicin,C$_{52}$H$_{74}$Cl$_{2}$O$_{18}$
277,5.5,327,reacts,519.46,Tungsten(VI) oxytetrabromide,WOBr$_{4}$
,,,,,Mexiletine,C$_{11}$H$_{17}$NO
,,,,,Sorbinil,C$_{11}$H$_{9}$FN$_{2}$O$_{3}$
,,,,270.28,Nudol,C$_{16}$H$_{14}$O$_{4}$
75.7-76.5,,,,,Asparagusic acid,C$_{4}$H$_{6}$O$_{2}$S$_{2}$
51,,260,slightly in cold water more so in hot water,164.25,Wurster's blue,C$_{10}$H$_{16}$N$_{2}$
235-240,,,,1528.44,Mycobacillin,C$_{65}$H$_{85}$N$_{13}$O$_{30}$
,,,,,Fosazepam,C$_{18}$H$_{18}$ClN$_{2}$O$_{2}$P
105-107,,,,,Methylphosphonic acid,CH$_{5}$O$_{3}$P
,,,,,PD-168 077,
,,,,,Ammonium hexachloroiridate,H$_{8}$N$_{2}$Cl$_{6}$Ir
,,,,,Icodextrin,chemical_formula(C$_{6}$H$_{10}$O$_{5}$)$_{n}$
,,,,374.29,Trifucol,C$_{18}$H$_{14}$O$_{9}$
247.5,,,slightly soluble in water,300.366,Sulfaquinoxaline,C$_{14}$H$_{12}$N$_{4}$O$_{2}$S
,,,,,Metildigoxin,C$_{42}$H$_{66}$O$_{14}$
,2.54,,soluble,631.9,Potassium octachlorodimolybdate,H$_{4}$Cl$_{8}$K$_{4}$Mo$_{2}$O$_{2}$
,,,,,Entinostat,C$_{21}$H$_{20}$N$_{4}$O$_{3}$
,,,,270.374,Tolonium chloride,C$_{15}$H$_{16}$N$_{3}$S$^{+}$
492,,1345,slightly soluble,143.45,Copper(I) bromide,CuBr
,,,,,Alifedrine,C$_{18}$H$_{27}$NO$_{2}$
,,,,,Moexipril,C$_{27}$H$_{34}$N$_{2}$O$_{7}$
,,,,229.65,Ethylmercury,C$_{2}$H$_{5}$Hg$^{+}$
,,,,,Loviride,C$_{17}$H$_{16}$Cl$_{2}$N$_{2}$O$_{2}$
,,,,,Molindone,C$_{16}$H$_{24}$N$_{2}$O$_{2}$
,,,,,Meladrazine,C$_{11}$H$_{23}$N$_{7}$
,,,,,Thiothixene,C$_{23}$H$_{29}$N$_{3}$O$_{2}$S$_{2}$
,,,,,WAY-267 464,
66,1.72,150,anhydrous:   60.0,212.996,Aluminium nitrate,Al(NO$_{3}$)$_{3}$
,,,0.0003% (20$^{\circ}$C),,Heptane,C$_{7}$H$_{16}$
,,,,,Methyl radical,CH$_{3}$
,,,,,Wikipedia:WikiProject Medicine/Translation task force/RTT/Simple Cefalexin,
-142,,-29,,48.02,Formyl fluoride,CHFO
99-102,,,Insoluble,624.67,Triphos,C$_{41}$H$_{39}$P$_{3}$
,,,,,Sulfafurazole,C$_{11}$H$_{13}$N$_{3}$O$_{3}$S
,,,Miscible,,Pentylamine,C$_{5}$H$_{13}$N
,,,,,SHA-68,C$_{26}$H$_{24}$FN$_{3}$O$_{3}$
,,,,,Dihydroetorphine,C$_{25}$H$_{35}$NO$_{4}$
-25,,209,0.7,,Diethyl sulfate,C$_{4}$H$_{10}$O$_{4}$S
,,,,,Dibromotyrosine,C$_{9}$H$_{9}$Br$_{2}$NO$_{3}$
,,,,,Mirogabalin,C$_{12}$H$_{19}$NO$_{2}$
,,,,,Glycerol phenylbutyrate,
62-63,,296,insoluble,,Asarone,C$_{12}$H$_{16}$O$_{3}$
,,,,,Enfuvirtide,C$_{204}$H$_{301}$N$_{51}$O$_{64}$
,,,,230.26,Dihydro-resveratrol,C$_{14}$H$_{14}$O$_{3}$
,,,,,Eptapirone,C$_{16}$H$_{23}$N$_{7}$O$_{2}$
,,,,,Clinafloxacin,C$_{17}$H$_{17}$ClFN$_{3}$O$_{3}$
0,,100,,18.01528(33),Properties of water,H$_{2}$O
,1.611,,,,Anilazine,C$_{9}$H$_{5}$Cl$_{3}$N$_{4}$
79-82,,,,,Bromopyruvic acid,C$_{3}$H$_{3}$BrO$_{3}$
,,,,318.23,Gossypetin,C$_{15}$H$_{10}$O$_{8}$
,,,,456.344,Flavin mononucleotide,C$_{17}$H$_{21}$N$_{4}$O$_{9}$P
150,,,,,Glucosamine,C$_{6}$H$_{13}$NO$_{5}$
,,,,,Lenalidomide,C$_{13}$H$_{13}$N$_{3}$O$_{3}$
,,,,,Methysergide,C$_{21}$H$_{27}$N$_{3}$O$_{2}$
,,,,,Flunitrazepam,C$_{16}$H$_{12}$FN$_{3}$O$_{3}$
40-41,,187-188,,194.22,Zingerone,C$_{11}$H$_{14}$O$_{3}$
,,,,302.32,Isonotholaenic acid,C$_{17}$H$_{18}$O$_{5}$
,1.264,199.7,,,Pyrrolidine dithiocarbamate,C$_{5}$H$_{9}$NS$_{2}$
,,,,406.56,Alfaprostol,C$_{24}$H$_{38}$O$_{5}$
,,,,,Gramicidin S,
97-100,1.252,332-333,,184.26,Dibenzothiophene,C$_{12}$H$_{8}$S
,,,,,Tofisopam,C$_{22}$H$_{26}$N$_{2}$O$_{4}$
,,,,78.11,Fulvene,C$_{6}$H$_{6}$
,,,,,Lisinopril,C$_{21}$H$_{31}$N$_{3}$O$_{5}$
,,,,,Loreclezole,C$_{10}$H$_{6}$Cl$_{3}$N$_{3}$
245,,,,144.15,Thiobarbituric acid,C$_{4}$H$_{4}$N$_{2}$O$_{2}$S
,,,,,Acifluorfen,C$_{14}$H$_{7}$ClF$_{3}$NO$_{5}$
,,,slightly soluble,,Methyl azide,CH$_{3}$N$_{3}$
500,,,trihydrate:,233.99,Iron(II) lactate,C$_{6}$H$_{10}$FeO$_{6}$
527,,,,,Indium antimonide,InSb
,,,,,Resiquimod,C$_{17}$H$_{22}$N$_{4}$O$_{2}$
,,,,,Fumagillin,C$_{26}$H$_{34}$O$_{7}$
15,0.752,125-130,reacts,144.17,Trimethylaluminium,C$_{6}$H$_{18}$Al$_{2}$
,,,,,Rolziracetam,C$_{7}$H$_{9}$N$_{2}$O$_{2}$
,,,,,Beta-Methylfentanyl,C$_{23}$H$_{30}$N$_{2}$O
-89,,0.4,,,Thiazyl fluoride,NSF
106,,108,200,,Acetylcysteine,C$_{14}$H$_{11}$Cl$_{2}$NO$_{2}$
49-51,0.96,232,Insoluble,,Thymol,C$_{10}$H$_{14}$O
64.052,,56.5,Reacts violently,352.02,Uranium hexafluoride,UF$_{6}$
200,,,,817.64,Nitro blue tetrazolium chloride,C$_{40}$H$_{30}$Cl$_{2}$N$_{10}$O$_{6}$
,,,,,Arachidonyl-2'-chloroethylamide,C$_{22}$H$_{36}$ClNO
,,,,,Eosin Y,C$_{20}$H$_{6}$Br$_{4}$Na$_{2}$O$_{5}$
,,,,,Talampicillin,C$_{24}$H$_{23}$N$_{3}$O$_{6}$S
,,,,,Fluorosulfuric acid,FHO$_{3}$S
,,,,,Bromopride,C$_{14}$H$_{22}$BrN$_{3}$O$_{2}$
,11.68,,,,Americium dioxide,AmO$_{2}$
,,,,,Alstonine,C$_{20}$H$_{25}$NO
,,,,,Xanthinol,C$_{13}$H$_{21}$N$_{5}$O$_{4}$
74,1.409,,123.9,144.5,Ethephon,C$_{2}$H$_{6}$ClO$_{3}$P
,,,,,Bicifadine,C$_{12}$H$_{15}$N
1194,4.84,,negligible (insoluble),87.91,Iron(II) sulfide,FeS
28-30,,17-0,,,Mandelonitrile,C$_{8}$H$_{7}$NO
,,,,346.28,Eupatolitin,C$_{17}$H$_{14}$O$_{8}$
,,145-146,,,Ditetrahydrofurylpropane,C$_{11}$H$_{20}$O$_{2}$
50-52,,80-84,,122.12,Tropolone,C$_{7}$H$_{6}$O$_{2}$
,,,,,R-4066,C$_{32}$H$_{37}$NO
,,,,,Prajmaline,C23H33N2O2charge+
31,3.34,205,soluble,438.33,Tin(IV) bromide,SnBr$_{4}$
,,,,112.911,Bromous acid,HBrO$_{2}$
,,48.7,,111.96904,Methylammonium halide,CH$_{3}$NH$_{3}$Br
,,,,,Albendazole,C$_{12}$H$_{15}$N$_{3}$O$_{2}$S
,,,,,Sulfamethoxazole,C$_{10}$H$_{11}$N$_{3}$O$_{3}$S
,1.146,128,2,258.3384,Demeton,C$_{8}$H$_{19}$O$_{3}$PS$_{2}$
,,198-200,,140.22,Cyclohexylacetone,C$_{9}$H$_{16}$O
449,5.6,,,,Hafnium tetraiodide,HfI$_{4}$
158,1.2,220,120-300,,Bisphenol A,C$_{15}$H$_{16}$O$_{2}$
,,,,315.429,A-86929,C$_{18}$H$_{21}$NO$_{2}$S
,,,,,Cannabicyclol,C$_{21}$H$_{30}$O$_{2}$
-54,,-54,,,Arsabenzene,C$_{5}$H$_{5}$As
,,,,,Alglucosidase alfa,
,,,,,Methylscopolamine bromide,
,,,,,AR-A000002,C$_{27}$H$_{36}$N$_{4}$O$_{2}$
,,,,,Rosiglitazone,C$_{18}$H$_{19}$N$_{3}$O$_{3}$S
126,,160,insoluble,221.37,Barium azide,BaN$_{6}$
-113,,67,Slight,,Propanethiol,C$_{3}$H$_{8}$S
270,,,,,Adamantane,C$_{10}$H$_{16}$
276-278,,,,286.23,Kaempferol,C$_{15}$H$_{10}$O$_{6}$
289,,,sl. sol. with hydrolysis,248.96,Titanocene dichloride,C$_{10}$H$_{10}$Cl$_{2}$Ti
-15,,237,Slightly soluble,129.16,Quinoline,C$_{9}$H$_{7}$N
,,,,,Scandium monosulfide,ScS
231,,-18,,,Cyclododecatriene,C$_{12}$H$_{18}$
,,,,355.43582,S-Adenosylmethioninamine,C$_{14}$H$_{23}$N$_{6}$O$_{3}$S$^{+}$
,,,,,Fluclorolone acetonide,
,,142-145,,224.19,Triethyl phosphonoacetate,C$_{8}$H$_{17}$O$_{5}$P
,,230.5,"miscible with water, soluble in ethanol",134.173,Dipropylene glycol,C$_{6}$H$_{14}$O$_{3}$
,,,,81.09,Pyrylium salt,C$_{5}$H$_{5}$O$^{+}$
735,3.71,420,anhydrous:   36.2,154.996,Cobalt(II) sulfate,CoSO$_{4}$
,,,,,Plicatol A,C$_{17}$H$_{16}$O$_{5}$
,,,,,ATL-444,C$_{17}$H$_{19}$N$_{5}$O
,1.798,,,,Nickel(II) acetate,NiO$_{4}$C$_{4}$H$_{6}$
,,,,269.343,Methylenedioxybenzylamphetamine,C$_{17}$H$_{19}$NO$_{2}$
<25,0.89,126,,,Methyl pentanoate,C$_{6}$H$_{12}$O$_{2}$
,,,,,Cinanserin,C$_{20}$H$_{24}$N$_{2}$OS
,,,,493.547,Ryanodine,C$_{25}$H$_{35}$NO$_{9}$
,,,,,L-DOPA,C$_{9}$H$_{11}$NO$_{4}$
130,4.79,300,0.026,146.43,Cadmium hydroxide,Cd(OH)$_{2}$
-104.5,,74.6,reacts,118.97,Thionyl chloride,SOCl$_{2}$
,,,,,MGS-0039,C$_{15}$H$_{14}$Cl$_{2}$NO$_{5}$
,,,,,Polyacrylic acid,(C$_{3}$H$_{4}$O$_{2}$)$_{n}$
,,,,,Eprobemide,C$_{14}$H$_{19}$ClN$_{2}$O$_{2}$
,,,,,Flupentixol,C$_{23}$H$_{25}$F$_{3}$N$_{2}$OS
373,6.66,916,0.455,367.01,Lead(II) bromide,PbBr$_{2}$
203,,,,,Ursodeoxycholic acid,
,,,,,Biotin sulfoxide,C$_{10}$H$_{16}$N$_{2}$O$_{4}$S
,,,,,Ceftolozane,C$_{23}$H$_{30}$N$_{12}$O$_{8}$S$_{2}$
,,,,,Butaperazine,C$_{24}$H$_{31}$N$_{3}$OS
,,,,,Udenafil,C$_{25}$H$_{36}$N$_{6}$O$_{4}$S
-80,1.688,137.1,"decomposes, with loss of HCl",135.04,Disulfur dichloride,S$_{2}$Cl$_{2}$
